epoch,error_hedge_2,error_hedge_inf
34,0.0003,0.1586,0.0003
35,0.0003,0.1582,0.0003
36,0.0003,0.1594,0.0003
37,0.0003,0.1576,0.0003
38,0.0003,0.1566,0.0003
39,0.0003,0.1540,0.0003
40,0.0003,0.1517,0.0003
41,0.0003,0.1508,0.0003
42,0.0003,0.1499,0.0003
43,0.0003,0.1494,0.0003
44,0.0003,0.1495,0.0003
45,0.0003,0.1452,0.0003
46,0.0003,0.1447,0.0003
47,0.0003,0.1447,0.0003
48,0.0003,0.1455,0.0003
49,0.0003,0.1446,0.0003
0,0.0141,0.5974,0.0141
1,0.0061,0.4740,0.0061
2,0.0011,0.2412,0.0011
3,0.0006,0.1749,0.0006
4,0.0001,0.0997,0.0001
5,0.0001,0.0916,0.0001
6,0.0001,0.0752,0.0001
7,0.0001,0.0779,0.0001
8,0.0001,0.0723,0.0001
9,0.0001,0.0735,0.0001
10,0.0000,0.0713,0.0000
11,0.0000,0.0719,0.0000
12,0.0000,0.0699,0.0000
13,0.0000,0.0707,0.0000
14,0.0000,0.0640,0.0000
15,0.0000,0.0650,0.0000
16,0.0000,0.0600,0.0000
17,0.0000,0.0611,0.0000
18,0.0000,0.0566,0.0000
19,0.0000,0.0576,0.0000
20,0.0000,0.0588,0.0000
21,0.0000,0.0592,0.0000
22,0.0000,0.0607,0.0000
23,0.0000,0.0604,0.0000
24,0.0000,0.0593,0.0000
25,0.0000,0.0593,0.0000
26,0.0000,0.0536,0.0000
27,0.0000,0.0543,0.0000
28,0.0000,0.0487,0.0000
29,0.0000,0.0495,0.0000
30,0.0000,0.0454,0.0000
31,0.0000,0.0463,0.0000
32,0.0000,0.0470,0.0000
33,0.0000,0.0478,0.0000
34,0.0000,0.0500,0.0000
35,0.0000,0.0506,0.0000
36,0.0000,0.0500,0.0000
37,0.0000,0.0504,0.0000
38,0.0000,0.0476,0.0000
39,0.0000,0.0477,0.0000
40,0.0000,0.0450,0.0000
41,0.0000,0.0453,0.0000
42,0.0000,0.0408,0.0000
43,0.0000,0.0413,0.0000
44,0.0000,0.0384,0.0000
45,0.0000,0.0388,0.0000
46,0.0000,0.0406,0.0000
47,0.0000,0.0410,0.0000
48,0.0000,0.0426,0.0000
49,0.0000,0.0426,0.0000
